Value,Day,Hour,Minute,Second119563
119563,2023-02-25,18,46,47
119560,2023-02-25,18,47,18
119560,2023-02-25,18,47,48
119474,2023-02-25,18,48,18
119474,2023-02-25,18,48,48
119532,2023-02-25,18,49,19
119532,2023-02-25,18,49,49
119531,2023-02-25,18,50,20
119531,2023-02-25,18,50,51
119531,2023-02-25,18,51,21
119519,2023-02-25,18,51,52
119519,2023-02-25,18,52,22
119528,2023-02-25,18,52,52
119528,2023-02-25,18,53,22
119542,2023-02-25,18,53,53
119542,2023-02-25,18,54,23
119538,2023-02-25,18,54,53
119538,2023-02-25,18,55,23
119537,2023-02-25,18,55,54
119537,2023-02-25,18,56,24
119536,2023-02-25,18,56,54
119538,2023-02-25,18,57,25
119538,2023-02-25,18,57,55
119577,2023-02-25,18,58,25
119577,2023-02-25,18,58,55
119625,2023-02-25,18,59,26
119625,2023-02-25,18,59,56
119726,2023-02-25,19,0,26
119726,2023-02-25,19,0,56
119725,2023-02-25,19,1,27
119725,2023-02-25,19,1,57
119727,2023-02-25,19,2,27
119727,2023-02-25,19,2,57
119727,2023-02-25,19,3,28
119727,2023-02-25,19,3,58
119742,2023-02-25,19,4,28
119742,2023-02-25,19,4,58
119549,2023-02-25,19,5,28
119549,2023-02-25,19,5,59
119549,2023-02-25,19,6,29
119549,2023-02-25,19,6,59
119590,2023-02-25,19,7,30
119590,2023-02-25,19,8,0
119582,2023-02-25,19,8,30
119582,2023-02-25,19,9,1
119582,2023-02-25,19,9,31
119547,2023-02-25,19,10,1
119550,2023-02-25,19,10,32
119550,2023-02-25,19,11,2
119555,2023-02-25,19,11,33
119555,2023-02-25,19,12,3
